tier	owner	function	file
C_EXIT	LiveSafetyCircuitBreaker	sessionDrawdownPressureReason	engine/LiveSafetyCircuitBreaker.kt
C_EXIT	LiveStrategyTuner	holdMultiplier	engine/LiveStrategyTuner.kt
C_EXIT	LiveStrategyTuner	partialTriggerMultiplier	engine/LiveStrategyTuner.kt
E_INFILE	LiveStrategyTuner	tpMultiplier	engine/LiveStrategyTuner.kt
C_EXIT	LiveWinDNAStore	holdTimeStats	engine/LiveWinDNAStore.kt
C_EXIT	LiveWinDNAStore	losingExitReasons	engine/LiveWinDNAStore.kt
C_EXIT	LiveWinDNAStore	winningExitReasons	engine/LiveWinDNAStore.kt
C_EXIT	MarketStructureRouter	fluidThreshold	v3/modes/MarketStructureRouter.kt
C_EXIT	MarketStructureRouter	getPositionParams	v3/modes/MarketStructureRouter.kt
C_EXIT	ModeSpecificScanners	getMinLiquidityThreshold	engine/ModeSpecificScanners.kt
C_EXIT	MoonshotHoldProfileRegistry6415	trailStopPctFromPeak	engine/truth/MoonshotHoldProfileRegistry6415.kt
C_EXIT	OrderbookImbalancePulseAI	getRecentPulse	v3/scoring/OrderbookImbalancePulseAI.kt
C_EXIT	OrthogonalSignals	calculateHolderEntropy	engine/OrthogonalSignals.kt
G_PROTOCOL	OwnershipClassification6391	allowSellOrEmergencyProbe	engine/truth/SellOnlyHoldRepair6391.kt
H_MUTATOR	OwnershipClassification6391	startPlan	engine/truth/SellOnlyHoldRepair6391.kt
H_MUTATOR	PaperAccountLedger6430	onSellProvenanced6737	engine/truth/PaperAccountLedger6430.kt
C_EXIT	PeakDrawdownLock	mfeProfitFloorPct	engine/PeakDrawdownLock.kt
C_EXIT	PerpsAdvancedAI	getPartialExitPlan	perps/PerpsAdvancedAI.kt
C_EXIT	PerpsAdvancedAI	shouldPartialExit	perps/PerpsAdvancedAI.kt
C_EXIT	PerpsLaneGate	canAdmitPerpsTrade	engine/PerpsLaneGate.kt
C_EXIT	PerpsMarketDataFetcher	getPriceSource	perps/PerpsMarketDataFetcher.kt
C_EXIT	PerpsTrailingStop	getTrailStop	perps/PerpsTrailingStop.kt
H_MUTATOR	PerpsUnifiedScorerBridge	recordHold	perps/PerpsUnifiedScorerBridge.kt
C_EXIT	PersonalityTraitMultipliers	takeProfitBiasPct	engine/PersonalityTraitMultipliers.kt
C_EXIT	PersonalityTraitMultipliers	trailSlackMultiplier	engine/PersonalityTraitMultipliers.kt
C_EXIT	PipelineHealthCollector	sellLike	engine/PipelineHealthCollector.kt
G_PROTOCOL	PortfolioInvariants6405	verifyWalletParity	engine/truth/PortfolioInvariants6405.kt
C_EXIT	PositionIdentity6395	activeExitIntent	engine/truth/PositionIdentity6395.kt
H_MUTATOR	PositionStateLedger6454	onPartial	engine/truth/PositionStateLedger6454.kt
C_EXIT	PriceAggregator	getPrunedSymbols	perps/PriceAggregator.kt
C_EXIT	PriceDenomination6387	isAuthoritativeForExit	engine/truth/CanonicalTokenPrice6387.kt
C_EXIT	ProcessorAmountPlanner	planSellFromConfirmed	engine/ProcessorAmountPlanner.kt
C_EXIT	PumpPortalKillSwitch	recentPartialAttempts	engine/sell/PumpPortalKillSwitch.kt
H_MUTATOR	PumpPortalKillSwitch	recordPartialAttempt	engine/sell/PumpPortalKillSwitch.kt
C_EXIT	QuantMetrics	calculateProfitFactor	engine/quant/QuantMetrics.kt
H_MUTATOR	ReEntryLockout	clearOnNewPeak	engine/ReEntryLockout.kt
H_MUTATOR	RecoveredHoldGuard	clearOnFullExit	engine/RecoveredHoldGuard.kt
C_EXIT	RecoveredHoldGuard	isEmergencyExitOverride	engine/RecoveredHoldGuard.kt
C_EXIT	RecoveredHoldGuard	isInHoldGrace	engine/RecoveredHoldGuard.kt
C_EXIT	RouteValidator	validateFinalOutput	engine/execution/RouteValidator.kt
C_EXIT	RuntimeRepairState	requestPaperMode	engine/RuntimeRepairState.kt
C_EXIT	ScannerHeatPublisher6398	currentPct01	engine/truth/ScannerHeatPublisher6398.kt
E_INFILE	SellAmountAuthority	isEmergencyExitReason	engine/sell/SellAmountAuthority.kt
E_INFILE	SellAmountAuthority	isProfitProtectExitReason	engine/sell/SellAmountAuthority.kt
F_DEAD	SellAmountAuthority	resolveSellAmount	engine/sell/SellAmountAuthority.kt
C_EXIT	SellIntentQuantityAuthority6401	validateSellIntentFromUi	engine/truth/SellIntentQuantityAuthority6401.kt
C_EXIT	SellQuantityBoundary6459	admitSell	engine/truth/SellQuantityBoundary6459.kt
C_EXIT	SentienceHooks	lastPostMortemAgeMs	engine/SentienceHooks.kt
C_EXIT	ShadowLearningEngine	getPerformanceByMode	v3/learning/ShadowLearningEngine.kt
C_EXIT	SmartExitOptimizer	getExitPressure	engine/SmartExitOptimizer.kt
H_MUTATOR	SmartSizer	resetSessionPeak	engine/SmartSizer.kt
C_EXIT	SolanaWallet	getPublicKeyOnly	network/SolanaWallet.kt
C_EXIT	SourceTimingRegistry	getPriceChangeSinceFirstSeen	v3/arb/SourceTimingRegistry.kt
C_EXIT	TacticBleedPivot	getLastPivot	engine/TacticBleedPivot.kt
C_EXIT	TelegramBot	alertExit	engine/TelegramBot.kt
C_EXIT	TelegramBot	alertPartialSell	engine/TelegramBot.kt
C_EXIT	TelegramNotifier	partialMsg	engine/TelegramNotifier.kt
G_PROTOCOL	TerminalFinalityAuthority6405	allowExit	engine/truth/TerminalFinalityAuthority6405.kt
C_EXIT	ToxicModeCircuitBreaker	activateEmergencyStop	engine/ToxicModeCircuitBreaker.kt
C_EXIT	ToxicModeCircuitBreaker	deactivateEmergencyStop	engine/ToxicModeCircuitBreaker.kt
C_EXIT	TradeHistoryStore	getPnl24hSol	engine/TradeHistoryStore.kt
H_MUTATOR	TradeHistoryStore	recordPartialProfit	engine/TradeHistoryStore.kt
C_EXIT	TradeIdentityManager	auditTrail	engine/TradeIdentity.kt
C_EXIT	TrailingStopManager	calculateBreakevenStop	engine/TrailingStopManager.kt
C_EXIT	TreasuryOpportunityEngine	getPendingOpportunities	engine/TreasuryOpportunityEngine.kt
H_MUTATOR	TreasuryOpportunityEngine	updateDeploymentPnl	engine/TreasuryOpportunityEngine.kt
C_EXIT	TreasuryWalletManager	importPrivateKey	engine/TreasuryWalletManager.kt
D_DISPLAY	AIStartupCoordinator	getLayerStatus	v3/core/AIStartupCoordinator.kt
D_DISPLAY	AdaptiveFloorBrain6397	snapshotFor	engine/truth/AdaptiveFloorBrain6397.kt
D_DISPLAY	AdaptiveLearningEngine	getLabelDistribution	engine/AdaptiveLearningEngine.kt
D_DISPLAY	AdaptiveLearningEngine	getPatternReport	engine/AdaptiveLearningEngine.kt
D_DISPLAY	AmountTypes6386	toSolDisplay	engine/truth/AmountTypes6386.kt
D_DISPLAY	AsyncStrategyLab	markLatestSymbolicReviewed	engine/AsyncStrategyLab.kt
D_DISPLAY	AsyncStrategyLab	markSymbolicReviewed	engine/AsyncStrategyLab.kt
D_DISPLAY	AsyncStrategyLab	pendingForReview	engine/AsyncStrategyLab.kt
D_DISPLAY	AuthorityInvariants6399	reportScoreFloorAfterTicket	engine/truth/AuthorityInvariants6399.kt
D_DISPLAY	AuthoritySnapshotVersion6464	snapshotVersion	engine/truth/AuthoritySnapshotVersion6464.kt
D_DISPLAY	AutonomousMetaPolicy	contextKey	engine/AutonomousMetaPolicy.kt
D_DISPLAY	BandLossVetoGuard	snapshotForReport	engine/BandLossVetoGuard.kt
D_DISPLAY	BehaviorAI	getReasonStatsSnapshot	v3/scoring/BehaviorAI.kt
D_DISPLAY	BirdeyeApi	getPairOverview	network/BirdeyeApi.kt
D_DISPLAY	BotBrain	getBadBehaviourReport	engine/BotBrain.kt
D_DISPLAY	BotBrain	getFullBadBehaviourReport	engine/BotBrain.kt
D_DISPLAY	BotBrain	getLearningStatus	engine/BotBrain.kt
D_DISPLAY	BotBrain	getMemorySummary	engine/BotBrain.kt
D_DISPLAY	CanonicalAssetEntryCandidate6551	cardinalitySnapshot6647	engine/truth/CanonicalAssetEntryContract6551.kt
D_DISPLAY	CanonicalAssetEntryCandidate6551	markCancelled	engine/truth/CanonicalAssetEntryContract6551.kt
D_DISPLAY	CanonicalCloseFinality6389	buildDisplay	engine/truth/CanonicalSettlement6389.kt
D_DISPLAY	CanonicalCloseFinality6389	repairedRowCount	engine/truth/CanonicalSettlement6389.kt
D_DISPLAY	CanonicalEconomicEvent6635	snapshotCommittedFlags	engine/truth/CanonicalEconomicEvent6635.kt
D_DISPLAY	CanonicalEntryAuthority6540	producerLivenessReport6569	engine/truth/CanonicalEntryAuthority6540.kt
D_DISPLAY	CanonicalExecutionReceipt6394	byStatus	engine/truth/CanonicalExecutionTruth6394.kt
D_DISPLAY	CanonicalExecutionReceipt6394	renderHealthReportBlock	engine/truth/CanonicalExecutionTruth6394.kt
D_DISPLAY	CanonicalFill6393	boundsForCell	engine/truth/ForensicFinalityAndTuner6393.kt
D_DISPLAY	CanonicalLedger6387	classificationsSnapshot	engine/truth/CanonicalLedger6387.kt
D_DISPLAY	CanonicalOutcomeClassifier6576	reportConsumerClass	engine/truth/CanonicalOutcomeClassifier6576.kt
D_DISPLAY	CanonicalPaperTransaction6486	displayAdded	engine/truth/CanonicalPaperTransaction6486.kt
D_DISPLAY	CanonicalTokenMetricsSnapshot6725	toDiagnostic	engine/truth/CanonicalTokenMetricsSnapshot6725.kt
D_DISPLAY	CoachingCurriculum	detailReport	engine/CoachingCurriculum.kt
D_DISPLAY	CollectiveBrainActivity	addRow	ui/CollectiveBrainActivity.kt
D_DISPLAY	ConfidenceBreakdown	preRunnerSnapshot	v3/decision/DecisionEngine.kt
D_DISPLAY	CorrelationScanner	getDisplayCorrelation	perps/CorrelationScanner.kt
D_DISPLAY	CrossAssetRawSignalReceipt6633	statusLine6633	engine/truth/CrossAssetRawSignalReceipt6633.kt
D_DISPLAY	CryptoAltActivity	detailRow	ui/CryptoAltActivity.kt
D_DISPLAY	CryptoAltActivity	loadChart	ui/CryptoAltActivity.kt
D_DISPLAY	CryptoAltActivity	statCell	ui/CryptoAltActivity.kt
D_DISPLAY	CryptoAltActivity	statPill	ui/CryptoAltActivity.kt
D_DISPLAY	DashboardDataProvider	getModePerformanceCards	engine/DashboardDataProvider.kt
D_DISPLAY	DashboardDataProvider	getStrategyTruthCard	engine/DashboardDataProvider.kt
D_DISPLAY	DataPipeline	formatAlphaSignals	engine/DataPipeline.kt
D_DISPLAY	DataProviderFaultCircuits6468	recordHttpStatus	engine/truth/DataProviderFaultCircuits6468.kt
D_DISPLAY	EducationSubLayerAI	getReasonLearningSnapshot	v3/scoring/EducationSubLayerAI.kt
D_DISPLAY	EducationSubLayerAI	hivePeerAccuracyStatus6880	v3/scoring/EducationSubLayerAI.kt
D_DISPLAY	ElevenLabsApi	voiceDesignPreviews	engine/voice/ElevenLabsApi.kt
D_DISPLAY	EmergentGuardrails	formatPriceChange	engine/EmergentGuardrails.kt
D_DISPLAY	EntryStrategySnapshot6450	rowCountForTest	engine/truth/EntryStrategySnapshot6450.kt
D_DISPLAY	EvidenceEpochFilter6388	legacyStatusFor	engine/truth/GovernorRecoverySubstrate6388.kt
D_DISPLAY	ExecutableOpenGate	restoreExecStateFromFrozenSnapshot	engine/ExecutableOpenGate.kt
D_DISPLAY	ExecutionAttemptLease	formatForReport	engine/ExecutionAttemptLease.kt
D_DISPLAY	ExitManager	getExitReasonDisplay	engine/ExitManager.kt
D_DISPLAY	FeeAccrualObservability6439	tagCountsSnapshot	engine/truth/FeeAccrualObservability6439.kt
D_DISPLAY	FillLotLedger6344	snapshotForMint	engine/FillLotLedger6344.kt
D_DISPLAY	FirstTradeReadiness6348	snapshotBlock	engine/FirstTradeReadiness6348.kt
D_DISPLAY	FirstTradeReadiness6348	toSnapshot	engine/FirstTradeReadiness6348.kt
D_DISPLAY	FluidLearningAI	getBootstrapStatus	v3/scoring/FluidLearningAI.kt
D_DISPLAY	GlobalTradeRegistry	sourceMixSnapshot	engine/GlobalTradeRegistry.kt
D_DISPLAY	HistoricalEconomicQuarantine6496	reportPaperReplayDivergence	engine/truth/HistoricalEconomicQuarantine6496.kt
D_DISPLAY	HostWalletTokenTracker	purgeOrphanRecoveredRows	engine/HostWalletTokenTracker.kt
D_DISPLAY	InsiderCopyEngine	activeSignalRows	engine/InsiderCopyEngine.kt
D_DISPLAY	JournalEconomicReplay6619	displayToRaw	engine/truth/JournalEconomicReplay6619.kt
D_DISPLAY	JournalReceiptAccounting6663	exportCombinedDiagnosticCsv	engine/TradeJournal.kt
D_DISPLAY	LanePolicy	snapshotForBucket	engine/learning/LanePolicy.kt
D_DISPLAY	LanePolicy	snapshotForLane	engine/learning/LanePolicy.kt
D_DISPLAY	LaneQuarantineController	quarantineSnapshot	engine/LaneQuarantineController.kt
D_DISPLAY	LaneStrategyEvaluator	logReport	engine/LaneStrategyEvaluator.kt
D_DISPLAY	LegacyReplayIsolation6630	statusLine6630	engine/truth/LegacyReplayIsolation6630.kt
D_DISPLAY	LiveContinuityPolicy6392	displaySol	engine/truth/LiveContinuity6392.kt
D_DISPLAY	LiveContinuityPolicy6392	displayTokenAmount	engine/truth/LiveContinuity6392.kt
D_DISPLAY	LiveContinuityPolicy6392	pendingRowCount	engine/truth/LiveContinuity6392.kt
D_DISPLAY	LiveWinDNAStore	losingChartPatternFrequency	engine/LiveWinDNAStore.kt
D_DISPLAY	LlmLabEngine	externalOutcomeSummary6078	engine/lab/LlmLabEngine.kt
D_DISPLAY	LockedEntryMetrics6634	statusLine6634	engine/truth/LockedEntryMetrics6634.kt
D_DISPLAY	MarketsScanner	getChangeEmoji	perps/MarketsScanner.kt
D_DISPLAY	MarketsScanner	getDisplayChange	perps/MarketsScanner.kt
D_DISPLAY	MomentumPredictorAI	getMomentumReport	engine/MomentumPredictorAI.kt
D_DISPLAY	MultiAgentCriticStack	review	engine/MultiAgentCriticStack.kt
D_DISPLAY	NarrativeFlowAI	getNarrativeReport	v4/meta/NarrativeFlowAI.kt
D_DISPLAY	NoTradeObservationStore	completeRows	engine/learning/NoTradeObservationStore.kt
D_DISPLAY	NoTradeObservationStore	persistCoalescedRows	engine/learning/NoTradeObservationStore.kt
D_DISPLAY	NoTradeObservationStore	recentRows	engine/learning/NoTradeObservationStore.kt
D_DISPLAY	NoTradeObservationStore	totalRows	engine/learning/NoTradeObservationStore.kt
D_DISPLAY	OnDeviceMLEngine	calibrationStatus6881	ml/OnDeviceMLEngine.kt
D_DISPLAY	OwnershipClassification6391	pillarReady	engine/truth/SellOnlyHoldRepair6391.kt
D_DISPLAY	PaperAccountLedger6430	repairCashFromDisplayed6448	engine/truth/PaperAccountLedger6430.kt
D_DISPLAY	PatchWriterAI	planFromDiagnosis	engine/PatchWriterAI.kt
D_DISPLAY	PatternBacktester	formatReport	engine/PatternBacktester.kt
D_DISPLAY	PerformanceAnalytics	formatSummary	engine/PerformanceAnalytics.kt
D_DISPLAY	PerpsLearningInsightsPanel	getDisplayText	perps/PerpsLearningInsightsPanel.kt
D_DISPLAY	PerpsLearningInsightsPanel	getFormattedInsightsText	perps/PerpsLearningInsightsPanel.kt
D_DISPLAY	PersistentLearning	exportBackup	engine/PersistentLearning.kt
D_DISPLAY	PersistentLearning	getStorageSummary	engine/PersistentLearning.kt
D_DISPLAY	Personalities	displayNames	engine/Personalities.kt
D_DISPLAY	PipelineHealthActivity	deliverReport6308	ui/PipelineHealthActivity.kt
D_DISPLAY	PipelineReportFileExporter6401	writeReportSyncToDir	engine/execution/PipelineReportFileExporter6401.kt
D_DISPLAY	PipelineTracer	getLoopSnapshot	engine/PipelineTracer.kt
D_DISPLAY	PortfolioAnalytics	generateFullReport	engine/quant/PortfolioAnalytics.kt
D_DISPLAY	PortfolioStore6405	rowCounts	engine/truth/PortfolioStore6405.kt
D_DISPLAY	PositionViewModelStore6395	allViews	engine/truth/PositionViewModelStore6395.kt
D_DISPLAY	PriceResolverFallback	cacheSnapshot	engine/sell/PriceResolverFallback.kt
D_DISPLAY	QuantMetrics	generateReport	engine/quant/QuantMetrics.kt
D_DISPLAY	RawTokenAmount	displayQuantity	engine/RawTokenAmount.kt
D_DISPLAY	RawTokenAmount	ofDisplaySafe	engine/RawTokenAmount.kt
D_DISPLAY	ReportingHub	exportForensicFile	engine/ReportingHub.kt
D_DISPLAY	ReportingHub	label6098	engine/ReportingHub.kt
D_DISPLAY	ResearchScout	freeSourceStatus	engine/ResearchScout.kt
D_DISPLAY	RiskExitPriorityDomain6461	laneStatsSnapshot	engine/truth/RiskExitPriorityDomain6461.kt
D_DISPLAY	RiskExitPriorityDomain6461	publishLaneStatsSnapshot	engine/truth/RiskExitPriorityDomain6461.kt
D_DISPLAY	RunTracker30D	dailyReport	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	exportDailyReport	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	exportEquityCurve	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	exportFinalReport	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	exportTradeLog	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	finalReport	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	getEquityLabel	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	getHeaderString	engine/RunTracker30D.kt
D_DISPLAY	RunTracker30D	getSystemScoreString	engine/RunTracker30D.kt
D_DISPLAY	RuntimeDoctor	latestSnapshot	engine/RuntimeDoctor.kt
D_DISPLAY	RuntimeRepairState	disabledLaneSnapshot	engine/RuntimeRepairState.kt
D_DISPLAY	RuntimeRepairState	disabledScannerSourceSnapshot	engine/RuntimeRepairState.kt
D_DISPLAY	RuntimeTune6833	handoffSnapshot6833	engine/truth/RuntimeTune6833.kt
D_DISPLAY	RuntimeTune6833	statusLine6833	engine/truth/RuntimeTune6833.kt
D_DISPLAY	SelfHealingDiagnostics	getStatusEmoji	engine/SelfHealingDiagnostics.kt
D_DISPLAY	SelfHealingDiagnostics	runDiagnosis	engine/SelfHealingDiagnostics.kt
D_DISPLAY	SellAmountAuthority	txParseSnapshot	engine/sell/SellAmountAuthority.kt
D_DISPLAY	ShadowLearningEngine	getBlockedTradesReport	engine/ShadowLearningEngine.kt
D_DISPLAY	SherpaTtsBridge	writeString	engine/SherpaTtsBridge.kt
D_DISPLAY	SmartChartScanner	getBiasEmoji	engine/SmartChartScanner.kt
D_DISPLAY	SmartChartScanner	getScanSummary	engine/SmartChartScanner.kt
D_DISPLAY	SoftScoreShaping6400	reportForbiddenScoreFloorReject	engine/truth/SoftScoreShaping6400.kt
D_DISPLAY	SpecialistCausalInvariants6627	statusLine6627	engine/truth/CausalAuthorityRepair6627.kt
D_DISPLAY	SpecialistCausalInvariants6627	statusLine6627	engine/truth/CausalAuthorityRepair6627.kt
D_DISPLAY	StartupExitOnlyLatch6401	blockingPillars	engine/truth/StartupExitOnlyLatch6401.kt
D_DISPLAY	SymbolicExitReasoner	ruleTrustSnapshot	engine/SymbolicExitReasoner.kt
D_DISPLAY	SymbolicVote	toCompactString	engine/CandidateSymbolicContext.kt
D_DISPLAY	TelegramBot	alertDailySummary	engine/TelegramBot.kt
D_DISPLAY	TradeIdentityManager	funnelReport	engine/TradeIdentity.kt
D_DISPLAY	TreasuryCashflowMissionReport	emitSnapshot	engine/TreasuryCashflowMissionReport.kt
D_DISPLAY	TreasuryScannerFeed	watchlistSnapshot	engine/TreasuryScannerFeed.kt
D_DISPLAY	TursoClient	saveRegimeSnapshot	collective/TursoClient.kt
D_DISPLAY	UiRefreshGate	snapshotSuppressed	engine/runtime/UiRefreshGate.kt
D_DISPLAY	UnifiedModeOrchestrator	getDashboardSummary	engine/UnifiedModeOrchestrator.kt
D_DISPLAY	UnifiedPositionRegistry	snapshotAllOpen	engine/UnifiedPositionRegistry.kt
D_DISPLAY	UniversalBridgeEngine	mintLabel	engine/UniversalBridgeEngine.kt
D_DISPLAY	VoiceManager	previewPersona	engine/VoiceManager.kt
D_DISPLAY	WrRecoveryPartial	statusTag	engine/WrRecoveryPartial.kt
E_INFILE	BotService	backgroundRuntimeHealth6487	engine/BotService.kt
E_INFILE	BotService	bridgeOverrideAllowed	engine/BotService.kt
E_INFILE	BotService	cashGenProofOk	engine/BotService.kt
E_INFILE	BotService	creditUnifiedPaperSol	engine/BotService.kt
E_INFILE	BotService	forceScannerSoftResetIfPossible	engine/BotService.kt
E_INFILE	BotService	heldPositionCountForRescue	engine/BotService.kt
E_INFILE	BotService	intakePhaseForShadow	engine/BotService.kt
E_INFILE	BotService	isAllowedStopSource	engine/BotService.kt
E_INFILE	BotService	isBatteryOptWhitelisted	engine/BotService.kt
E_INFILE	BotService	isConfirmedManualStopSource	engine/BotService.kt
E_INFILE	BotService	isFreshSolanaSource	engine/BotService.kt
E_INFILE	BotService	isHighConvictionUnseen	engine/BotService.kt
E_INFILE	BotService	isManualStopRequested	engine/BotService.kt
E_INFILE	BotService	isMarketsLaneEnabled	engine/BotService.kt
E_INFILE	BotService	isStrategyPausedByTrust	engine/BotService.kt
E_INFILE	BotService	liveHeldOrManagedMint	engine/BotService.kt
E_INFILE	BotService	logBuyHandoff	engine/BotService.kt
E_INFILE	BotService	logLayerSkip	engine/BotService.kt
E_INFILE	BotService	logNoBuy	engine/BotService.kt
E_INFILE	BotService	logPipeline	engine/BotService.kt
E_INFILE	BotService	playSoundForTrade	engine/BotService.kt
E_INFILE	BotService	qualityLaneProofOk	engine/BotService.kt
E_INFILE	BotService	resolveLivePrice	engine/BotService.kt
E_INFILE	BotService	runSafetyCheck	engine/BotService.kt
E_INFILE	BotService	runV3Execution	engine/BotService.kt
E_INFILE	BotService	supervisorNoteCycleElapsedForThrottle	engine/BotService.kt
E_INFILE	FinalDecisionGate	getAdaptiveConfidence	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	getAdjustedThresholds	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	getClosedLoopConfidenceAdjustment	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	getModeRecentLosses	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	getRemainingCooldownMinutes	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	getVetoRemainingSeconds	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	isAdaptiveRelaxationActive	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	isBenchmarkQuality	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	isExploration	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	isInDistributionCooldown	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	recordModeLoss	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	recordTradeExecuted	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	shouldBypassSoftBlock	engine/FinalDecisionGate.kt
E_INFILE	FinalDecisionGate	tierShape	engine/FinalDecisionGate.kt
E_INFILE	MainActivity	cachedDrawable	ui/MainActivity.kt
E_INFILE	MainActivity	compactUsd	ui/MainActivity.kt
E_INFILE	MainActivity	firstPositive	ui/MainActivity.kt
E_INFILE	MainActivity	journalEntryPrice	ui/MainActivity.kt
E_INFILE	MainActivity	latestBuy	ui/MainActivity.kt
E_INFILE	MainActivity	liveOpenPanelTruth4570	ui/MainActivity.kt
E_INFILE	MainActivity	recoverRenderablePricing	ui/MainActivity.kt
E_INFILE	MainActivity	updateCyclicPanel	ui/MainActivity.kt
E_INFILE	MintEntryMarketSnapshot	acquirePaperSellLock	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	applyRehydrate	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	buyAttemptTrace4576	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	buySizeSol	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	buyTerminalFail	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	buyTerminalOk	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	canonicalExecutableLane	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	checkPartialSell	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	checkProfitLock	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	clearAllPaperSellLocks	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	clearPaperAuthorities6514	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	doGraduatedAdd	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	doTopUp	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	emitLiveEntryDecision	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	fromCanonicalMark6735	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	getRecoveryCandidates	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	graduatedInitialPct	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	isMeaningfulLaneName	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	isPaperScratchTrade	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	liveAbortDesync	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	liveAbortLaneContract	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	liveStage	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	markPaperBuyNotOpened	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	markPaperTicketDispatched6514	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	markPaperTicketTerminalOpen6514	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	missingTokenMapFields	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	observeOnlyLiveEntry	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	paperBuy	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	reconcileCanonicalClosed6509	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	releasePaperBuyNonTerminal6514	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	requestPartialSell	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	riskCheck	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	rollbackPaperEntry6485	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	sanitizeEntryTs	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	sanitizeHeldMins	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	shouldGraduatedAdd	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	shouldTopUp	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	softExitProtectedBySymbolicPatience	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	symbolicWantsPatience	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	topUpSizeSol	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	trailingFloor	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	trailingFloorBasic	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	tryPersistedEntryRouteHarvest6099	engine/Executor.kt
E_INFILE	MintEntryMarketSnapshot	tryRouteRealClaimMismatchHarvest6029	engine/Executor.kt
E_INFILE	ScannerLearning	getCachedRcScore	engine/SolanaMarketScanner.kt
E_INFILE	ScannerLearning	getDiscoveryBonus	engine/SolanaMarketScanner.kt
E_INFILE	ScannerLearning	getScannerPrefs	engine/SolanaMarketScanner.kt
E_INFILE	ScannerLearning	getSourceWinRate	engine/SolanaMarketScanner.kt
E_INFILE	ScannerLearning	getThroughputTelemetry	engine/SolanaMarketScanner.kt
E_INFILE	ScannerLearning	hasZeroOutputFor	engine/SolanaMarketScanner.kt
E_INFILE	ScannerLearning	markTokenRejected	engine/SolanaMarketScanner.kt
E_INFILE	ScannerLearning	resetMode	engine/SolanaMarketScanner.kt
